date,open,high,low,close
2019-03-25 0:00:00,136.12,136.83,131.6,133.98
2019-03-24 0:00:00,137.28,137.37,134.75,136.09
2019-03-23 0:00:00,135.92,138.21,135.6,137.28
2019-03-22 0:00:00,134.85,137.2,134.29,135.98
2019-03-21 0:00:00,139.04,139.55,131.21,134.85
2019-03-20 0:00:00,138.56,139.66,136.01,139.01
2019-03-19 0:00:00,137.62,139.38,136.97,138.55
2019-03-18 0:00:00,138.67,142.01,136.1,137.59
2019-03-17 0:00:00,140.94,141.07,137.2,138.67
2019-03-16 0:00:00,136.6,144.47,136.51,140.92
2019-03-15 0:00:00,132.24,137.62,132.18,136.56
2019-03-14 0:00:00,131.69,135.11,128.52,132.2
2019-03-13 0:00:00,133.62,133.65,130.58,131.65
2019-03-12 0:00:00,132.67,135.3,130.77,133.57
2019-03-11 0:00:00,135.37,136.15,131,132.67
2019-03-10 0:00:00,137.27,137.5,134,135.37
2019-03-09 0:00:00,133.51,138.65,132.93,137.27
2019-03-08 0:00:00,136.82,139.34,130.62,133.52
2019-03-07 0:00:00,137.37,140.2,135.2,136.81
2019-03-06 0:00:00,136.71,140.29,133.33,137.4
2019-03-05 0:00:00,125.68,137.84,125.19,136.72
2019-03-04 0:00:00,130.6,131.11,122.6,125.65
2019-03-03 0:00:00,132.54,134.6,128.01,130.6
2019-03-02 0:00:00,135.32,136.12,130.03,132.56
2019-03-01 0:00:00,135.32,137.95,134.9,135.32
2019-02-28 0:00:00,135.03,139,132.1,135.34
2019-02-27 0:00:00,136.22,140.29,126.84,135.02
2019-02-26 0:00:00,137.88,138.41,133.72,136.22
2019-02-25 0:00:00,132.1,141.55,131.89,137.87
2019-02-24 0:00:00,157.75,166,131.7,132.1
2019-02-23 0:00:00,147.4,159.6,145.78,157.79
2019-02-22 0:00:00,145.68,148.85,143.85,147.36
2019-02-21 0:00:00,148.42,149.61,142.7,145.69
2019-02-20 0:00:00,143.45,149.52,139.6,148.44
2019-02-19 0:00:00,145.69,150,142.36,143.44
2019-02-18 0:00:00,133.77,148.3,132.42,145.69
2019-02-17 0:00:00,122.67,135.61,122.43,133.75
2019-02-16 0:00:00,121.66,124.99,121.54,122.67
2019-02-15 0:00:00,120.47,124.25,120.19,121.67
2019-02-14 0:00:00,121.86,124.5,120.1,120.42
2019-02-13 0:00:00,122.4,126.47,120.7,121.86
2019-02-12 0:00:00,120.88,123.89,118.18,122.41
2019-02-11 0:00:00,125.12,125.28,119.24,120.89
2019-02-10 0:00:00,119.19,126.49,115.81,125.12
2019-02-09 0:00:00,119.32,121.99,117.64,119.19
2019-02-08 0:00:00,104.48,123,103.41,119.25
2019-02-07 0:00:00,104.49,106.18,103.82,104.48
2019-02-06 0:00:00,107.28,107.83,101.21,104.5
2019-02-05 0:00:00,107.65,108.18,106.47,107.27
2019-02-04 0:00:00,107.33,109.3,106.57,107.68
2019-02-03 0:00:00,110.41,111.11,105.82,107.36
2019-02-02 0:00:00,106.71,111.15,106.07,110.42
